Entity,Code,Year,Human Development Index,World region according to OWID,Human Development Index (Original Year)
Afghanistan,AFG,2020,0.501,Asia,
Albania,ALB,2020,0.794,Europe,
Algeria,DZA,2020,0.742,Africa,
Andorra,AND,2020,0.851,Europe,
Angola,AGO,2020,0.61,Africa,
Antigua and Barbuda,ATG,2020,0.84,North America,
Argentina,ARG,2020,0.851,South America,
Armenia,ARM,2020,0.761,Asia,
Australia,AUS,2020,0.95,Oceania,
Austria,AUT,2020,0.925,Europe,
Azerbaijan,AZE,2020,0.757,Asia,
Bahamas,BHS,2020,0.797,North America,
Bahrain,BHR,2020,0.885,Asia,
Bangladesh,BGD,2020,0.663,Asia,
Barbados,BRB,2020,0.803,North America,
Belarus,BLR,2020,0.815,Europe,
Belgium,BEL,2020,0.939,Europe,
Belize,BLZ,2020,0.713,North America,
Benin,BEN,2020,0.504,Africa,
Bhutan,BTN,2020,0.688,Asia,
Bolivia,BOL,2020,0.697,South America,
Bosnia and Herzegovina,BIH,2020,0.783,Europe,
Botswana,BWA,2020,0.718,Africa,
Brazil,BRA,2020,0.77,South America,
Brunei,BRN,2020,0.836,Asia,
Bulgaria,BGR,2020,0.826,Europe,
Burkina Faso,BFA,2020,0.453,Africa,
Burundi,BDI,2020,0.435,Africa,
Cambodia,KHM,2020,0.595,Asia,
Cameroon,CMR,2020,0.579,Africa,
Canada,CAN,2020,0.931,North America,
Cape Verde,CPV,2020,0.647,Africa,
Central African Republic,CAF,2020,0.386,Africa,
Chad,TCD,2020,0.408,Africa,
Chile,CHL,2020,0.856,South America,
China,CHN,2020,0.786,Asia,
Colombia,COL,2020,0.764,South America,
Comoros,COM,2020,0.592,Africa,
Congo,COG,2020,0.643,Africa,
Costa Rica,CRI,2020,0.819,North America,
Cote d'Ivoire,CIV,2020,0.553,Africa,
Croatia,HRV,2020,0.867,Europe,
Cuba,CUB,2020,0.762,North America,
Cyprus,CYP,2020,0.905,Europe,
Czechia,CZE,2020,0.898,Europe,
Democratic Republic of Congo,COD,2020,0.506,Africa,
Denmark,DNK,2020,0.954,Europe,
Djibouti,DJI,2020,0.499,Africa,
Dominica,DMA,2020,0.753,North America,
Dominican Republic,DOM,2020,0.767,North America,
East Timor,TLS,2020,0.65,Asia,
Ecuador,ECU,2020,0.74,South America,
Egypt,EGY,2020,0.736,Africa,
El Salvador,SLV,2020,0.66,North America,
Equatorial Guinea,GNQ,2020,0.668,Africa,
Eritrea,ERI,2020,0.495,Africa,
Estonia,EST,2020,0.901,Europe,
Eswatini,SWZ,2020,0.657,Africa,
Ethiopia,ETH,2020,0.486,Africa,
Fiji,FJI,2020,0.718,Oceania,
Finland,FIN,2020,0.947,Europe,
France,FRA,2020,0.909,Europe,
Gabon,GAB,2020,0.732,Africa,
Gambia,GMB,2020,0.512,Africa,
Georgia,GEO,2020,0.822,Asia,
Germany,DEU,2020,0.955,Europe,
Ghana,GHA,2020,0.614,Africa,
Greece,GRC,2020,0.896,Europe,
Grenada,GRD,2020,0.782,North America,
Guatemala,GTM,2020,0.645,North America,
Guinea,GIN,2020,0.488,Africa,
Guinea-Bissau,GNB,2020,0.498,Africa,
Guyana,GUY,2020,0.722,South America,
Haiti,HTI,2020,0.555,North America,
Honduras,HND,2020,0.625,North America,
Hungary,HUN,2020,0.857,Europe,
Iceland,ISL,2020,0.965,Europe,
India,IND,2020,0.652,Asia,
Indonesia,IDN,2020,0.71,Asia,
Iran,IRN,2020,0.775,Asia,
Iraq,IRQ,2020,0.68,Asia,
Ireland,IRL,2020,0.948,Europe,
Israel,ISR,2020,0.912,Asia,
Italy,ITA,2020,0.899,Europe,
Jamaica,JAM,2020,0.711,North America,
Japan,JPN,2020,0.922,Asia,
Jordan,JOR,2020,0.743,Asia,
Kazakhstan,KAZ,2020,0.826,Asia,
Kenya,KEN,2020,0.6,Africa,
Kiribati,KIR,2020,0.632,Oceania,
Kuwait,KWT,2020,0.837,Asia,
Kyrgyzstan,KGZ,2020,0.7,Asia,
Laos,LAO,2020,0.616,Asia,
Latvia,LVA,2020,0.879,Europe,
Lebanon,LBN,2020,0.75,Asia,
Lesotho,LSO,2020,0.537,Africa,
Liberia,LBR,2020,0.498,Africa,
Libya,LBY,2020,0.688,Africa,
Liechtenstein,LIE,2020,0.929,Europe,
Lithuania,LTU,2020,0.888,Europe,
Luxembourg,LUX,2020,0.916,Europe,
Madagascar,MDG,2020,0.483,Africa,
Malawi,MWI,2020,0.512,Africa,
Malaysia,MYS,2020,0.81,Asia,
