Entity,Year,Life expectancy - Sex: total - Age: 0 - Type: period
Afghanistan,2020,61.4537
Albania,2020,77.8241
Algeria,2020,73.2568
Andorra,2020,79.4177
Angola,2020,63.1164
Antigua and Barbuda,2020,77.1613
Argentina,2020,75.8781
Armenia,2020,68.8898
Australia,2020,83.6639
Austria,2020,81.8037
Azerbaijan,2020,70.3116
Bahamas,2020,72.9936
Bahrain,2020,78.6833
Bangladesh,2020,71.4211
Barbados,2020,76.6465
Belarus,2020,72.269
Belgium,2020,80.7977
Belize,2020,71.5801
Benin,2020,60.154
Bhutan,2020,72.2531
Bolivia,2020,62.906
Bosnia and Herzegovina,2020,76.0395
Botswana,2020,67.6426
Brazil,2020,74.5058
Brunei,2020,75.1138
Bulgaria,2020,73.5992
Burkina Faso,2020,60.4536
Burundi,2020,62.5694
Cambodia,2020,70.0594
Cameroon,2020,61.6738
Canada,2020,81.6536
Cape Verde,2020,73.8177
Central African Republic,2020,50.5959
Chad,2020,53.0818
Chile,2020,79.3488
China,2020,78.0191
Colombia,2020,74.7565
Comoros,2020,65.7559
Congo,2020,64.3907
Costa Rica,2020,79.7252
Cote d'Ivoire,2020,60.1397
Croatia,2020,77.4972
Cuba,2020,77.4075
Cyprus,2020,81.2302
Czechia,2020,78.237
Democratic Republic of Congo,2020,60.4283
Denmark,2020,81.5458
Djibouti,2020,64.2001
Dominica,2020,71.2693
Dominican Republic,2020,72.6358
East Timor,2020,66.9191
Ecuador,2020,72.0036
Egypt,2020,69.7897
El Salvador,2020,70.2436
Equatorial Guinea,2020,62.1408
Eritrea,2020,66.9802
Estonia,2020,78.8929
Eswatini,2020,59.8618
Ethiopia,2020,65.9688
Fiji,2020,66.924
Finland,2020,81.8219
France,2020,82.1993
French Guiana,2020,77.5067
Gabon,2020,67.0725
Gambia,2020,64.4183
Georgia,2020,73.5094
Germany,2020,81.0036
Ghana,2020,64.3089
Greece,2020,81.5361
Greenland,2020,70.1558
Grenada,2020,75.019
Guatemala,2020,69.9707
Guinea,2020,59.3499
Guinea-Bissau,2020,61.343
Guyana,2020,67.751
Haiti,2020,63.773
Honduras,2020,70.864
Hungary,2020,75.7302
Iceland,2020,82.7113
India,2020,70.1563
Indonesia,2020,68.8173
Iran,2020,74.1406
Iraq,2020,69.6506
Ireland,2020,82.3897
Israel,2020,82.6997
Italy,2020,82.1814
Jamaica,2020,71.4519
Japan,2020,84.6703
Jordan,2020,75.5831
Kazakhstan,2020,71.1952
Kenya,2020,61.5958
Kiribati,2020,65.2046
Kosovo,2020,74.2118
Kuwait,2020,78.2483
Kyrgyzstan,2020,69.136
Laos,2020,68.3386
Latvia,2020,75.4781
Lebanon,2020,76.2988
Lesotho,2020,55.1325
Liberia,2020,61.2672
Libya,2020,72.3882
Liechtenstein,2020,82.037
Lithuania,2020,75.105
Luxembourg,2020,81.4108
Madagascar,2020,62.706
Malawi,2020,65.2159
Malaysia,2020,76.0566
Maldives,2020,78.713
Mali,2020,58.8577
Malta,2020,82.3358
Marshall Islands,2020,65.3873
Mauritania,2020,66.7943
Mauritius,2020,74.6572
Mexico,2020,70.4492
Micronesia (country),2020,65.8776
Moldova,2020,69.9144
Monaco,2020,86.0893
Mongolia,2020,70.0291
Montenegro,2020,75.8503
Morocco,2020,73.1327
Mozambique,2020,61.3904
Myanmar,2020,66.6121
Namibia,2020,64.0712
Nauru,2020,61.5271
Nepal,2020,69.1065
Netherlands,2020,81.3931
New Caledonia,2020,77.0494
New Zealand,2020,82.6628
Nicaragua,2020,70.7662
Niger,2020,59.8903
Nigeria,2020,53.0724
North Korea,2020,72.7826
North Macedonia,2020,74.4687
Norway,2020,83.1953
Oman,2020,77.7634
Pakistan,2020,65.7015
Palau,2020,68.6889
Palestine,2020,74.9978
Panama,2020,76.3302
Papua New Guinea,2020,65.075
Paraguay,2020,72.7197
Peru,2020,73.8315
Philippines,2020,70.0974
Poland,2020,76.5951
Portugal,2020,81.3664
Puerto Rico,2020,80.009
Qatar,2020,80.4095
Romania,2020,74.0464
Russia,2020,71.1705
Rwanda,2020,66.9534
Saint Kitts and Nevis,2020,71.1814
Saint Lucia,2020,72.3077
Saint Vincent and the Grenadines,2020,69.6051
Samoa,2020,70.7265
San Marino,2020,82.6495
Sao Tome and Principe,2020,67.979
Saudi Arabia,2020,77.5962
Senegal,2020,67.4961
Serbia,2020,74.5065
Seychelles,2020,74.0912
Sierra Leone,2020,59.6935
Singapore,2020,83.6607
Slovakia,2020,76.8643
Slovenia,2020,80.3641
Solomon Islands,2020,69.2577
Somalia,2020,57.0948
South Africa,2020,65.1502
South Korea,2020,83.6752
South Sudan,2020,57.6479
Spain,2020,82.2413
Sri Lanka,2020,76.9281
Sudan,2020,65.1237
Suriname,2020,72.3208
Sweden,2020,82.4271
Switzerland,2020,83.0626
Syria,2020,71.944
Taiwan,2020,81.1067
Tajikistan,2020,68.6054
Tanzania,2020,66.7712
Thailand,2020,77.3314
Togo,2020,61.1225
Tonga,2020,72.3787
Trinidad and Tobago,2020,72.645
Tunisia,2020,75.0035
Turkey,2020,76.5255
Turkmenistan,2020,68.8457
Tuvalu,2020,66.3567
Uganda,2020,66.4098
Ukraine,2020,73.2833
United Arab Emirates,2020,81.9363
United Kingdom,2020,80.3854
United States,2020,77.0115
Uruguay,2020,78.3811
Uzbekistan,2020,71.4613
Vanuatu,2020,70.3845
Venezuela,2020,72.3693
Vietnam,2020,75.3832
Western Sahara,2020,70.6126
Yemen,2020,66.4354
Zambia,2020,63.3607
Zimbabwe,2020,61.53
